@RELATION tweets

@ATTRIBUTE Text STRING
@ATTRIBUTE Label {earthquake,non-earthquake}

@DATA
'terremot terremot calabr papasider cosenz magnitud 3 3 dettagl ',earthquake
'terremot mugell commissar ricostru arriv contrib famigl min ',earthquake
'terremot present progett ospedal amatric mete web terremot present progett ospedal amatric mete web news web ',non-earthquake
'terremot app può salv ',non-earthquake
'terremot papasider cs ital 18 gennai 2020 14 12 06 utc ml 3 3 48 dat scuot ismd ',earthquake
'fort scoss terremot provinc cosenz papasider fort scoss terremot provinc ',earthquake
'3 sism campotost 18 gennai 2017 3 distruzion assenz istitu ',non-earthquake
'conclus settiman altern scuol risc terremot ringraz centr ricerc sis ',non-earthquake
'terremot calabr scoss provinc cosenz epicentr papasider mapp dat terremot calabr scoss ',earthquake
'1 8 magnitud earthquak 13 from ridgecrest ca unitedstates ',earthquake
'sisma76 riun membr comit istitu de ',non-earthquake
'stim provvisor terremot mag 2 8 3 3 15 12 it 18 01 2020 prov zon cosenz ingv 23789801 ',earthquake
'gabriel bui pres riusc costru sistem burocrat talment farragin iniz ',non-earthquake
'terremot mugell 808 sfoll terremot mugell sfoll ',earthquake
'terremot amatric croll campanil sant agostin ',earthquake
'riet prorog esenzion ticket comun colp sism terremot esenzion ticket region laz riet corr riet ',non-earthquake
'terremot mugell region contrib famigl 400 900 eur terremot mugell region ',non-earthquake
'traged rigop elicotter precipit camp felic scoss terrem ',non-earthquake
'1 7 magnitud earthquak 11 from oasis ca unitedstates ',earthquake
'17 gennai 1995 terremot kob giappon caus 6000 mort giappones sism stor rischiosism ',non-earthquake
'traged rigop elicotter precipit camp felic scoss terremot campotost è spopol inagibil abit abruzz ginocc caus maltemp ',non-earthquake
'bassignan pcproval pasocial piemont ligur lombard valledaost emiliaromagn protezionecivil socialprociv prociv terremot terremot costruzion aggiorn line guid classif risc sismic ',non-earthquake
'18 gennai 2017 slavin travolg hotel rigop farindol serviz protezion civil ri ',non-earthquake
'13gennai 1915 terremot marsic scoss magnitud 7 0 scuot pian fucin abruzz marsic vien ras suol avezz è citt più colp vittim 30 ',earthquake
'18 gennai 2017 slavin travolg hotel rigop farindol serviz protezion civil rinnov cordogl vittim slavin valang sism terremot gennaio2017 rigop ',non-earthquake
'3 sism campotost 18 gennai 2017 3 distruzion assenz istitu ricord sism 18gennaio2017 campotost poggiocancell mascion ortol terremot 18gennai abruzz laquil ',non-earthquake
'terremot mugell commissar ricostru arriv contrib famigl minim 400 msssim 900 eur mensil autonom sistem ioseguotgr ',non-earthquake
'3 8 magnitud earthquak 3 km from tallabo penuelas puert ric ',earthquake
'terremot traged rigop abruzz resilient terremot traged rigop ',earthquake
'regionelombard prend 550 eur impieg ristruttur fond perd attiv commercial fond mess disposizion band regioneemiliaromagn terremot rivitalizz centr urban ',non-earthquake
'terremot mugell incontr firenz sindac comun dannegg punt ricostru sism 9 dicembr barberinodimugell scarperiaesanpier 18gennai toscan ',earthquake
'usgs reports m3 73 earthquak 9km sse of guanic puert ric on 1 18 20 8 34 06 utc quak ',earthquake
'm4 1 region de puert ric 4 3km 18 01 2020 08 44 35 utc sism terremot g usgs ',earthquake
'liev terremot m2 2 epicentr 2 km antill 09 28 36 08 28 36 utc ',earthquake
'usgs reports m3 7 earthquak 9km sse of guanic puert ric on 1 18 20 8 34 05 utc quak ',earthquake
'terremot nuov zeland fort scoss press kermadec islands terremot nuov zeland fort ',earthquake
'terremot ital 18 gennai 2020 scoss real terremot ital gennai 2020 ',earthquake
'lanuovaecolog post terremot allev speranz chiud second fas allev speranz vener ',non-earthquake
'mapp effett terremot zon 5 km albi cz 18 01 2020 01 27 23 ml 2 1 ',non-earthquake
'mapp effett terremot zon 5 km sw crognalet 17 01 2020 13 14 29 ml 2 2 ',non-earthquake
'usgs reports m3 1 earthquak 8km sw of guanic puert ric on 1 18 20 4 36 14 utc quak ',earthquake
'usgs reports m3 5 earthquak 8km sw of guanic puert ric on 1 18 20 4 36 14 utc quak ',earthquake
'rest 105 terremot marsic 13gennaio1915 lecceneim avezz abruzz ',non-earthquake
'2 4 magnitud earthquak 3 km from mar anton guanic puert ric ',earthquake
'2 4 magnitud earthquak 20 from cambr ca unitedstates ',earthquake
'usgs reports m3 1 earthquak 18km sse of guanic puert ric on 1 18 20 3 39 51 utc ',earthquake
'usgs reports m3 1 earthquak 18km sse of guanic puert ric on 1 18 20 3 39 51 utc quak ',earthquake
'bassignan pcproval pasocial terremot protezionecivil socialprociv prociv ital special 2019 terremot ',earthquake
'magnitud 1 3 earthquak 19 4 km of big pin ca ',earthquake
'usgs reports m2 42 earthquak 2km sse of mar anton puert ric on 1 18 20 2 59 04 utc quak ',earthquake
'3 8 magnitud earthquak 8 km from tallabo penuelas puert ric ',earthquake
'terremot segnal utent app rilev terremot 8km acireal ital 6 segnal ragg 3km scaric app ricev allert real ',earthquake
'1 7 magnitud earthquak 16 from westmorland ca unitedstates ',earthquake
'mete prossim settiman luned nubifrag fort vent torn incub alta pression prevision amadeus ',non-earthquake
'sism earthquak prevencionff m 5 3 88km of arzak chin ',earthquake
'strateg abband terremot ',non-earthquake
'calabr è arriv selfin stanott terremot dovrebb tocc locust ',earthquake
'gabriel bui pres 22 consens pratic indennizz è imposs può continu cos ',non-earthquake
'earthquak m4 5 101 km s 72 of sarangan dava occidental indones 17 jan 11 03 utc report info ',earthquake
'm4 5 region de puert ric 14 4km 17 01 2020 22 02 35 utc sism terremot g usgs ',earthquake
'stim provvisor terremot mag 3 7 4 2 00 37 it 17 01 2020 prov zon catanzar ingv 23783441 ',earthquake
'terremot calabr scuol chius 4 comun provinc catanzar ',earthquake
'terremot calabr paur scuol chius catanzares ',earthquake
'onu ricord terremot hait oper artist ital onor memor vittim ',non-earthquake
'gabriel bui pres 3 terremot spes 49 2 100 ',non-earthquake
'region prorog esenzion ticket comun colp terremot tg24 ',non-earthquake
'è venerd 17 calabr è arriv salvin terremot coincident venerdi17 ',earthquake
'1 8 magnitud earthquak 11 from mammothlakes ca unitedstates ',earthquake
'terremot calabr preoccup amic calabres ricord import salvinip ',earthquake
'terremot basilic continu devast sottosuol trivell zon altissim risc sismic ass ',non-earthquake
'ver è cos deficient augur subìr prov person è sommers terr ',non-earthquake
'orama chiar invest è più grad spend neanc ciò stanz colp ',non-earthquake
'm4 0 region de puert ric 13 6km 17 01 2020 17 30 51 utc sism terremot g usgs ',earthquake
'è venerd 17 calabr arriv salvin terremot coincident calabr s ',earthquake
'ver è cos deficient augur subìr prov person è sommers terremot viv tent container chied infam votatopd vergogn ',non-earthquake
'ricord are crat terremot scuol aspett ricostru bambin tend ved agrinid san gines più decor assenz indecent ',non-earthquake
'scoss terremot catanzar terr trem notiz salvin calabr rosann nev 17gennai ',earthquake
'2 4 magnitud earthquak 5 from huron ca unitedstates ',earthquake
'terremot calabr possibil scoss ',earthquake
'terremot centr ital president anci decar pront mobilit 8 000 sindac ',earthquake
'terremot calabr 6 grad mercall geolog calabres dev prepar gross cris sismic scricchiol spezz terremot calabr grad mercall ',earthquake
'avvoc popol nascond rispost contrar inutil ridicol tweet bell ',non-earthquake
'dat terremot ital 2019 trem 16mil ',non-earthquake
'terremot calabr venerd 17 ',earthquake
'trov vot pdiot leganord manten ved costrett inital inutil tant dubb per speranz cinquestell più terremot 17gennai sanrem ',non-earthquake
'terremot albi cz ital 16 gennai 2020 23 37 09 utc ml 4 0 max acceler pga 0 00854285 g timpagran ',earthquake
'terremot magnitud 4 0 provinc catanzar 00 37 17 01 2020 sism ',earthquake
'so calabres terremot dovre saper conviv svegl cuor nott assicur propr famil ',earthquake
'2 0 magnitud earthquak 14 from anza ca unitedstates ',earthquake
'2 0 magnitud earthquak 22 km from anza ca unitedstates ',earthquake
'2 0 magnitud earthquak 14 from anza ca unitedstates ',earthquake
'sti cazz de terremot de nott terremot ingv ',earthquake
'libertàtweet terremot calabr terremot scoss magnitud 4 catanzar scuol chius sism avvert comun vicin verif vigil fuoc carabinier risult dann ',earthquake
'2 3 magnitud earthquak 12 from rio ca unitedstates ',earthquake
'afric muov venerdi17 scoss terremot magnitud 4 0 scal richter profond 6km è registr 00 37 catanzares epicentr albi 20 chilometr capoluog zon presil calabr ',earthquake
'conclus settiman altern scuol risc terremot ringraz centr ricerc sismolog coinvolt progett 13 ragazz lice buonarrot monfalcon x partecip arrived volontaridivalor ',non-earthquake
'già dann terremot magnitud 4 9 scal salvin calabr venerdi17 17gennai ',earthquake
'è possibil 2020 tweet esplicit sa terr ',non-earthquake
'calabr è gran territor caratterizz alta pericolos sismic è ricord sempr ',non-earthquake
'13 accenn terremot immagin vide notiz esist ',non-earthquake
'logic conseguent cenett calabres terremot ',earthquake
'import legg tweet risc terremot piccol bisogn sap ',non-earthquake
'terremot rag pall cazz terremot è fin 12 dann neint tendenz è madonn ',earthquake
'terremot giur sent scossett 15 min mah ',earthquake
'liev terremot m2 2 epicentr 5 km sw crognalet 13 14 29 12 14 29 utc ',earthquake
'venerdi17 17gennai terremot gfvip2020 grandefratellovip tv process mediat moral ke goliard raccont attratt donn colpevol x nn ferm person question ',earthquake
'terremot calabr scoss magnitud 4 nott catanzar ',earthquake
'terremot terr è mov 2019 mapp ingv terremot ',non-earthquake
'terremot calabr scoss magnitud 4 0 ',earthquake
'terremot segnal dann territor macer attiv 8 20 numer telefon 3 ',non-earthquake
'avvis avvoc popol giusepp 208 region bast saz fam sold polit local ao prepar n amatrician 17gennai terremot governocagoi tiè magn abbuffin ',non-earthquake
'notiz curios scoss terremot magnitud 4 è registr 00 37 calabr nord ',earthquake
'perc gar sent terremot boh andiam ',earthquake
'500 tweet calabr arriv terremot salvin omolog banal scriv stronz raccatt cuor noios pretend scrittor original andat schiacc ricc cul ',earthquake
'mes raccogl più macer terremot dipendent consorz cosmar fer forz ',non-earthquake
'venerdi17 natur ribell passagg personagg polit calabr bell scoss terremot ',earthquake
'mamm bellezz giorn calabr venerdi17 terremot ',earthquake
'venerd 17 iniz fort terremot aspett giorn almen asteroid cacc terremot ',earthquake
'terremot scuot paur scord più prov abruzzes sapp ritorn sapp sper port distruzion mort ',earthquake
'terremot magnitud 4 provinc catanzar ',earthquake
'mete nev è pront torn entro settiman accumul previst cm terremot italexit ',non-earthquake
'tg gr parl terremot gomblott ',earthquake
'uhm venerd 17 salvin calabr terremot tri letal ',earthquake
'terremot stanott scoss calabr sicil provinc enna epicentr troin scoss t ',earthquake
'fort scoss terremot colp zon catanzar intens magnitud 4 0 cre panic ',earthquake
'scoss terremot calabr magnitud 4 epicentr catanzares terremot ',earthquake
'terremot catanzar mess sicurezz può trasform brutt esperient spunt richiam ment onde corp volum onde p s onde superficial analizz fenomen verificat giorn 17gennai ',earthquake
'rag nonn trem sacc lett finestr per fortun dann terremot ',earthquake
'2 3 magnitud earthquak 20 km from rio ca unitedstates ',earthquake
'ser è modest terremot calabr gross sar 26 ',earthquake
'terremot basilic continu devast sottosuol trivell zon altissim risc sismic assassin ',non-earthquake
'm4 4 region de puert ric 10 0km 17 01 2020 10 32 59 utc sism terremot g usgs ',earthquake
'calabr terr ribell presenz salvinimmerd ser salviniportasfig catanzares ',earthquake
'3 5 magnitud earthquak 8 km from mar anton guanic puert ric ',earthquake
'3 6 magnitud earthquak 13 km from mar anton guanic puert ric ',earthquake
'abbracc provinc catanzar calabr colp stanott scoss terremot registr dann edif nè immens patrimon artist castell ducal coriglianocalabr cs è validissim ',earthquake
'not terremot è cos potent terr esult ',earthquake
'usgs reports m3 4 earthquak 12km sse of mar anton puert ric on 1 17 20 9 54 59 utc quak ',earthquake
'chied è pian dar ricover nott vedrann costrett dorm p ',earthquake
'usgs reports m3 2 earthquak 13km of guanic puert ric on 1 17 20 10 03 54 utc quak ',earthquake
'elosa puo usar twitter business è social real tim cronac terremot spettacol blackswan twitter è perfett divulg news legg articol antoniomarigg mpowermarketing 17gennai venerdi17 ',non-earthquake
'è possibil 2020 tweet esplicit sa terremot è possibil poic ital manc conoscent fenomen misur calabr è region più alto risc sismic ',non-earthquake
'terremot calabr è vuol pont strett ',non-earthquake
'breaking news 17gennai terremot imu tar tas comun caus fak firm giorg napolit ii istitu impost comunal propr sapevatel italexit whatsapp ',non-earthquake
'venerdi17 natur ribell passagg personagg polit calabr bell scoss terremot ',earthquake
'calabr è gran territor caratterizz alta pericolos sismic è ricord conoscent è form prevenzion terremot 17gennai ',non-earthquake
'salvin terremot amic calabres vicin ',earthquake
'è terremot colp ok dann ',earthquake
'terremot calabr fort scomm magnitud 4 nott catanzar segnal ',earthquake
'sent scoss terremot nott chiud occhi è pratic imposs dire g ',earthquake
'venerdi17 salvin terremot calabres vicin 17gennai ',earthquake
'mete prossim settiman luned nubifrag fort vent torn incub alta pression prevision amadeus terremot ',non-earthquake
'scoss dorm caus ansi terremot ',earthquake
'terr trem nott riport paur sil piccol confin catanzar croton cosenz terremot ',earthquake
'terremot magnitud ml 4 0 registr calabr 00 37 epicentr albi catanzar ',earthquake
'abbracc amic calabr fortun terremot tropp dann ',earthquake
'2 0 magnitud earthquak 32 from inyokern ca unitedstates ',earthquake
'usgs reports m3 46 earthquak 5km sw of guanic puert ric on 1 17 20 9 02 37 utc quak ',earthquake
'è gir calabr stanott è terremot coincident cred ',earthquake
'addi lag can ero amatric scav macer salv vit terremot ',non-earthquake
'newsicil terremot ferm scoss isol ',earthquake
'sism contrib autonom sistem 28 gennai vill umbra seminar gratu controll autocertif avvoc alessandr formic apert iscrizion programm pian terremot sisma2016 cas ',non-earthquake
'sent scoss terremot nott chiud occhi è pratic imposs dire giorn è già iniz terremot ',earthquake
'podcast cort costituzional referendum leg terremot sold ricostru burocraz ferm parl liber gabriel bui pres riascolt ',non-earthquake
'terremot chiusur scuol 4 comun catanzares scoss stanott magnitud 4 0 paur ',earthquake
'terremot provinc catanzar scoss 3 7 4 2 grad magnitud terremot ',earthquake
'terremot chiusur scuol 4 comun catanzares scoss stanott magnitud 4 0 paur registr segnal dann ',earthquake
'll 17gennai è fest santanton abat terremot calabr paur è strad catanzares scuol chius 4 comun ',earthquake
'terremot sent ',earthquake
'terremot calabr scoss terremot 4 grad catanzares rai 17 gennai 2020 scoss terremot ',earthquake
'terremot albi cz ital 16 gennai 2020 23 37 09 utc ml 4 0 max acceler pga 0 00854285 g timpagrand 17 14 km 51 records scuot ismd ',earthquake
'attenzion scoss poss torn rinforz prevenzion terremot ',earthquake
'import legg tweet risc terremot piccol bisogn sap salvav terremot ',non-earthquake
'ah trend terremot sol arrest calabr ',non-earthquake
'recension stor matrimon marriag story 2019 min review marriagestory netflix terremot sexeducation whatsapp eminem lis ',non-earthquake
'social network sent terremot ',non-earthquake
'terremot è provinc croton madonn trem ',earthquake
'terremot riman hashtag vorre ved tendenz ',non-earthquake
'terremot calabr scoss arriv sottosuol procur terremot propagandal venerdi17 untemaalgiorn ',earthquake
'scoss terremot magnitud 4 registr nott provinc catanzar risult dann cos ',non-earthquake
'terremot calabr scoss terremot 4 grad catanzares rai 17 gennai 2020 scoss terremot magnitud 4 0 scal richter profond 6 km è registr 00 37 ',earthquake
'scoss terremot calabr magnitud 4 epicentr catanzares terremot antan ',earthquake
'terremot magnitud 4 catanzar scuol chius ',earthquake
'terremot calabr fort scomm magnitud 4 nott catanzar segnal dann scoss è avvert zon limitrof ',earthquake
'scuol chius 4 comun provinc catanzar scoss terremot scors nott ioseguotgr ',earthquake
'torterr scelg usa terremot è superefficac ',earthquake
'amic calabres terremot ',earthquake
'terremot nott calabr scoss magnitud 4 0 catanzar cosenz ',earthquake
'fort scoss terremot colp zon catanzar intens magnitud 4 0 cre panic popol local segnal dann fer terremot ',earthquake
'proced verif line calabr terremot ferrov infoferrov tren trains 17gennai ',earthquake
'terremot magnitud 4 catanzares calabr ',earthquake
'terremot stanott scoss calabr sicil provinc enna epicentr troin scoss terremot profond effett territor ',earthquake
'terremot calabr scuol chius comun provinc catanzar terremot calabr scuol chius ',earthquake
'terremot stanott scoss calabr 0 37 ',earthquake
'terremot real fort scoss calabr trem terr catanzar terremot real fort ',earthquake
'terremot calabr preoccup amic calabres ricord import salviniportasfig ',earthquake
'sisma76 riun membr comit istitu archiv storic terremot bisogn tesor esperient straordinar scopr più ',non-earthquake
'mamm brutt svegl andar tendenz twitter legg terremot sper ',earthquake
'è autunn calabr avvert scoss terremot stanott è tocc parc sil catanzar croton ',earthquake
'notiz curios scoss terremot magnitud 4 è registr 00 37 calabr nord provinc catanzar terremot calabr catanzar magnitud news cosaaccad losapev buonoasap cronac ',earthquake
'calabr scoss sismic magnitud 4 0 catanzares epicentr albi ',earthquake
'fort scoss terremot sud ital potenz par 4 magnitud fort scoss terremot ital ',earthquake
'terremot terremot sicil troin enna magnitud 2 7 dettagl ',earthquake
'fort scoss terremot nott provinc catanzar fort scoss terremot ',earthquake
'terremot ital 17 gennai 2020 fort scoss nott catanzar scoss real terremot ital ',earthquake
'4 0 albi tavern catanzar prof 7 8km 00 37 17 01 2020 android ',non-earthquake
'terremot m 4 0 6 km n albi provinc catanzar epicentr tavern ',earthquake
'mapp effett terremot zon 6 km n albi cz 17 01 2020 00 37 09 ml 4 0 ',non-earthquake
'bell scoss terremot provinc catanzar notiz possibil dann news ',earthquake
'19 min terremot 4 3 tavern calabr italy 5 0km 00 37 cet emsc ',earthquake
'ball cosenz terremot ',non-earthquake
'ninnanann dondol lett terremot ',non-earthquake
'distint terremot m4 0 epicentr 6 km n albi cz 00 37 09 23 37 09 utc ',non-earthquake
'dat rivist ingv terremot calabr ',non-earthquake
'terremot earthquak 4 1 ml 23 37 utc albi italy 39 07 16 63 1 km 5 km felt to 70 km catanzar lamez term by 515600 ',non-earthquake
'can trem terremot ',earthquake
'avvert fort terremot catanzar cuor gol ',earthquake
'mapp effett terremot zon cost siracusan siracus 16 01 2020 23 49 26 ml 2 1 ',non-earthquake
'epicentr provinc catanzar avvert cosenz croton sil gran cost ionic terremot ',earthquake
'lamez avvert scosson terremot calabr ',earthquake
'giust andar dorm cos terremot ',earthquake
'beh cred sar nott insonn terremot ',earthquake
'catanzar terremot ',earthquake
'dorm doman terremot ',earthquake
'cosenz è sent terremot ',earthquake
'croton è traball terremot ',earthquake
'sent terremot ',earthquake
'azz sent terremot cosenz figuriamoc catanzar sper grav ',earthquake
'terremot avvert cosenz dintorn ',earthquake
'porc puttan scoss terremot ',earthquake
'cazz scoss terremot ',earthquake
'terremot appen percep cosenz ',earthquake
'liev terremot m2 1 epicentr cost siracusan siracus 23 49 26 22 49 26 utc ',earthquake
'ferm ricostru centr ital 3 terremot 2 16 programm spes ',non-earthquake
'm4 3 region de puert ric 10 0km 16 01 2020 21 15 19 utc sism terremot g usgs ',non-earthquake
'ottoemezz scontr ricostru post terremot centr ital abbaz ',non-earthquake
'ottoemezz scontr ricostru post terremot centr ital abbaz contigl fredd suor paol spes sold stanz 49 ',non-earthquake
'2 2 magnitud earthquak 6 from livermor ca unitedstates ',non-earthquake
'appunt solidariet domen 26 gennai 2020 press autodrom mugell è programm iniz ',non-earthquake
'2 4 magnitud earthquak 19 from ridgemark ca unitedstates ',non-earthquake
'mapp effett terremot zon 3 km sw bront ct 16 01 2020 02 21 20 ml 2 5 ',non-earthquake
'10 terribil terremot hait provoc più 230 000 vittim resp progett av ',non-earthquake
'appunt solidariet domen 26 gennai 2020 press autodrom mugell è programm iniz mugell organizz slow food mugell raccolt fond popol territor colp terremot 9 dicembr ',non-earthquake
'terremot ml 1 5 3 km claut pordenon 2020 01 16 16 09 19 utc terremot 46 2695 12 5575 ',earthquake
'liev scoss terremot cronac terremot alberobell epicentr 16gennai ',earthquake
'terremot ital 16 gennai 2020 liev sism provinc teram scoss real terremot ital gennai 2020 ',earthquake
'sism 2009 divers tratt ricostru 97 2016 ii commission comun marsc der chied contrib edif parzial inag finanz second cas terremot ',non-earthquake
'liev terremot m2 0 epicentr 7 km w cortin 11 27 09 10 27 09 utc ',earthquake
'nuov punt rubric approfond ces dam intervist segretar rischioidrogeolog terremot difes ambient ',non-earthquake
'terremot pugl ',earthquake
'chiusur lavor previst 2489 postsism terremot ance ',earthquake
'orama chiar invest è più grad spend neanc ciò stanz colp burocraz elefantiac inutil prolifer legisl destruttur pubblic amministr terremot ',non-earthquake
'magnitud 2 2 epicentr 11 km locorotond 7 noc terremot ',earthquake
'terremot scoss magnitud 2 5 bront catan terremot scoss magnitud bront ',earthquake
'liev scoss terremot epicentr alberobell 2 2 grad comun interess event alberobell noc putign locorotond castellan grott provinc bar cisternin fas provinc brindis martin franc crisp ',earthquake
'terremot alberobell scoss magnitud 2 2 terremot alberobell scoss ',earthquake
'sost preghier silenz lavor attorn sbirc intern chies cerc rispost cerc centupl cerc altar altar è ovunqu norc terremot ',earthquake
'liev scoss terremot avvert pugl dat mapp liev scoss terremot avvert ',earthquake
'mapp effett terremot zon 4 km w alberobell ba 16 01 2020 06 00 48 ml 2 2 ',non-earthquake
'liev scoss terremot alberobell bar immagin font ',earthquake
'dat rivist terremot ml 2 5 12 48 it 15 01 2020 4 km n aci sant anton ct prof 1km ingv 23777771 htt ',non-earthquake
'voc voc paes ascolt memor viss terremot ',earthquake
'buongiorn redazion corr umbri pagin giornal edicol acquist cop digital terremot umbri donatellatese ',non-earthquake
'bar liev scoss terremot alberobell magnitud 2 2 pugl ',earthquake
'terremot liev scoss epicentr chilometr alberobell bar immagin font ',earthquake
'newsicil torn nuov trem terr pendic vulc catan terremot bront sism ',earthquake
'nuov scoss terremot etna brusc risvegl nott ',earthquake
'resilient terr mut stef allev trentenn mogl michel frontign lind ',non-earthquake
'dar man allevalasper terremot scopr dar man valentin ',earthquake
'contrib allevalasper vorre realizz laborator smielatur condivid produt ',non-earthquake
'liev terremot m2 2 epicentr 4 km w alberobell ba 06 00 48 05 00 48 utc ',earthquake
'usgs reports m2 8 earthquak 5km sse of guanic puert ric on 1 16 20 1 48 57 utc quak ',non-earthquake
'dat rivist terremot ml 2 5 02 21 it 16 01 2020 3 km sw bront ct prof 11km ingv 23779741 ',non-earthquake
'terremot macer ferm incapac pd leg present nuov emend inser dl prorog ',earthquake
'debol terremot m2 5 epicentr 3 km sw bront ct 02 21 20 01 21 20 utc ',earthquake
'liev terremot m2 0 epicentr 4 km accumol ri 21 44 12 20 44 12 utc ',earthquake
'francesc delocalizz negoz legn resilient terremot ',earthquake
'ital 2019 earthquakes today mapp grafic dinam raccont stor dat opend terremot ',non-earthquake
'gianc farmac norc resilient terremot ',earthquake
'dam negoz container resilient terremot ',earthquake
'earthquak sism m3 2 strikes 27 km of liber cost ric 17 min ago mor info ',earthquake
'terremot umbri restitu bust pesant parl tg umbri 19 1 ',non-earthquake
'sent terremot lombard terremot ',earthquake
'ari respir barberin mugell malincon terremot dicembr sens comun parl telegram sindac giampier mongatt parroc barberin don stef uliv 19 35 20 35 ch96 ',non-earthquake
'terremot umbri restitu bust pesant dettagl terremot fratellidital bustapes ',earthquake
'terremot 2 2 agnosin bs 3 km sw 7 5km 15 58 cet ingv ',earthquake
'toscan scoss terremot magnitud 3 toscan scoss terremot magnitud ',earthquake
'terremot 20 04 epicentr abeton cutigl pt magnitud 3 0 0 3 ml ',earthquake
'terremot toscan scoss magnitud 3 provinc pistoi terremot toscan scoss magnitud ',earthquake
'scoss terremot farc cap valor ',earthquake
'terremot toscan scoss magnitud 3 0 provinc pistoi terremot toscan scoss ',earthquake
'fort scoss terremot magnitud 3 0 provinc pistoi fort scoss terremot magnitud ',earthquake
'scoss terremot pistoies lucc scoss terremot pistoies lucc ',earthquake
'terremot cutigl pt ital 21 gennai 2020 19 04 33 utc ml 3 57 dat scuot ismd ',earthquake
'spiac sent terremot sper paur ',earthquake
'terremot terremot toscan abeton cutigl pistoi magnitud 3 0 dettagl ',earthquake
'valmadrer è sent terremot ello lecc valmadrer ',earthquake
'terremot magnitud ml 3 0 è avven zon 2 km nw cutigl pt 21 01 2020 19 04 33 utc ',earthquake
'valmadrer sent eccom terremot ello lecc valmadrer ',earthquake
'24 min terremot 2 2 ello lc 1 km 12 3km 20 25 cet ingv ',earthquake
'terremot magnitud 2 2 ml profond 12 3 km zon 1 km ello lc font ingv ',earthquake
'liev terremot m2 2 epicentr 1 km ello lc 20 25 13 19 25 13 utc ',earthquake
'dopp scoss terremot toscan ',earthquake
'mapp effett terremot zon 2 km nw cutigl pt 21 01 2020 20 04 33 ml 3 0 ',non-earthquake
'terremot ',earthquake
'terremot pistoi stanott dorm già so 19 min terremot 3 0 cutigl pt 2 km nw 11 2km 20 04 cet ingv ',earthquake
