@RELATION tweets

@ATTRIBUTE Tweet STRING
@ATTRIBUTE Label {earthquake,non-earthquake}

@DATA
'huff post terremoto migliaia di sfollati non deportateci protezione civile impos paginanuova press',earthquake
'il bilancio provvisorio conta 159 vittime accertate terremoto',earthquake
'il centro italia devastato dal terremoto le vittime salite a 159si scava ancora prima notte in tenda per',earthquake
'il terremoto a balsorano aq è stato di magnitudo 4 4 state calmi',earthquake
'il terremoto fa di nuovo paura la situazione è apocalittica',earthquake
'il terremoto ha fatto danni a vittime',earthquake
'in tutto ciò io ho ancora i brividi per i danni e le vittime che ha provocato il terremoto',earthquake
'incommentabile terremoto',earthquake
'io non riesco a prendere sonno e smettere di seguire questa tragedia terremoto',earthquake
'italia sempre siamo con voi earthquake terremoto',earthquake
'l aquila ingv scossa di terremoto di magnitudo 4 4 sisma avvertito anche a roma playhitmusic',earthquake
'la faglia che si e aperta nell italia centrale e cosi vasta e profonda che e logico aspettarsi scosse fortissime ancora a lungo terremoto',earthquake
'la meteo it lameteo meteo meteo diretta forte terremoto in abruzzo paura all aquila 4 4 richter sisma avvertito anche a roma',earthquake
'la scossa delle 21 30 l ho sentita tutta mamma mia che paura sono vicino a tutti gli abitanti che hanno subito questo terremoto',earthquake
'la scossa di terremoto magnitudo 4 4 registrata da ingv alle 18 35 con epicentro 5 km a sud est di balsorano aq fortunatamente non ha causato danni a persone o cose come riferiscono le autorità la scossa è stata avvertita anche a roma e distintamente all aquila e pescara',earthquake
'la terra non smette di tremare terremoto',earthquake
'la terra torna a tremare forte scossa di terremoto a l 39 aquila picchionews',earthquake
'la terra trema in diretta immagini esclusive del terremoto del 30 10 2016',earthquake
'le regioni del centro italia lazio marche e umbria sono state devastate dal terremoto almeno 159 morti',earthquake
'leggo it libero e ilgiornale giuliani prevede nuovo terremoto ml 7 5 il ricercatore smentisce giornalista a',earthquake
'mamma mia nuova scossa di terremoto di magnitudo 6 5 con nuovi 3 000 sfollati a norcia vicinanza a tutti loro',earthquake
'mandiamo un messaggio o chiamiamo da rete fissa il 45500 aiutiamo i nostri concittadini spargete la voce terremoto prayforitaly',earthquake
'mannaggia ma non finisce più quest anno un abbraccio a chi vive momenti di paura e di disagio col terremoto',earthquake
'mio cuore e pensieri sono con gli abitanti del villaggio di accumoli ai dilettanti e pescara del tronto tutta italia a causa del terremoto',earthquake
'naufragio in terra il pensiero di erri de luca dopo il terremoto nel centro italia',earthquake
'nessuna immagine renderà mai ciò che si prova davvero mi vengono ancora i brividi e la paura di riaccende terremoto tenerebottasempre',earthquake
'news terremoto centro italia numerosi crolli decimato il patrimonio storico artistico',earthquake
'non ci sono vittime ma la devastazione è totale terremoto',earthquake
'non ho parole terremoto prayforitaly',earthquake
'notizie ancona terremoto i numeri del dramma nelle marche gli sfollati sono 25mila e qu marche italia',earthquake
'notizie ancona video terremoto dentro gli appartamenti inagibili di via vallemiano vide marche italia',earthquake
'nuova forte scossa di terremoto tra marche e umbria sisma avvertito in tutta la ciociaria',earthquake
'nuova scossa terremoto',earthquake
'oggi il mio pensiero va a tutte quelle famiglie italiane colpite dal terremoto il mio amore e le mie preghiere vanno tutte per voi',earthquake
'ogni tanto si sento gli elicotteri dei soccorsi mi vengono i brividi terremoto',earthquake
'parsi terremoto fa tremare la nostra anima',earthquake
'pomezia è arianna masciarelli la giovane deceduta nel terremoto di questa notte',earthquake
'porca miseria altri crolli terremoto',earthquake
'quando a roma si sente una scossa di terremoto da qualche altra parte ci sarà stata botta tremenda speriamobene laquila',earthquake
'questa volta stavo sul divano saltavo da sdraiata terremoto',earthquake
'questo terremoto del 30 10 2016 ore 07 41 di 6 5 di magnitudo si è sentito in tutta italia fino in austria',earthquake
'regà un terremoto assurdo state bene',earthquake
'repubblica terremoto centro italia norcia la strada si apre in due',earthquake
'repubblica terremoto paesi distrutti le immagini aeree',earthquake
'resistono ad un terremoto di 9 gradi richter ecco le case progettate in giappone',earthquake
'resto basita terremoto blundo m5s scossa da 7 1 a 6 1 per interessi governo',earthquake
'rimini terremoto il liceo scientifico serpieri sospende le lezioni per lunedì 31 ottobre rimini scuola',earthquake
'roma e di almeno 159 morti il bilancio provvisorio delle vittime del terremoto che ha colpito in particolare le',earthquake
'scossa di terremoto a laquila di magnitudo 4 9 danni ai container',earthquake
'scossa di terremoto di magnitudo 4 7 stima provvisoria registrata alle 18 35 nei pressi di l aquila avvertita anche a roma aggiornamenti su s ultimora net 2019 11 07 scossa di terremoto di magnitudo 4 7 stima provvisoria registrata alle 18 35 nei pressi di laquila avvertita anche a roma aggiornamenti su ultimora24',earthquake
'scossa di terremoto di ml 4 4 nella zona al confine tra abruzzo e lazio tra le province di l aquila e frosinone',earthquake
'seconda scossa di magnitudo 5 9 avvertita fino in austria la forte scossa di terremoto di magnitudo 5 9 regi',earthquake
'sempre più paura terremotocentroitalia terremoto',earthquake
'siamo vicini alle popolazioni colpite nuovamente dal terremoto questi avvenimenti ci trovano impotenti ma',earthquake
'siste il kit di pronto soccorso per i terremoti dice cecchi paone terremoto centroitalia earthquake',earthquake
'so che non serve a nulla ma il mio pensiero va a tutte le persone coinvolte nel terremoto vittime e soccorritori',earthquake
'solidarieta e vicinanza alle famiglie colpite dal dolore e dalla sofferenza generata da questo terribile terremoto',earthquake
'sono oltre un centinaio i comuni marchigiani che hanno segnalato crolli a causa del terremoto',earthquake
'tempestivo l intervento del nucleo di protezione civile guardie forestali e ambientali valle del liri che a seguito della forte scossa di terremoto avvenuta nella serata ha effettuato diversi controlli sul',earthquake
'terremoto 14 ricoverati al gemelli di roma 2 minori in codice rosso terremoto 14 ricoverati al gemelli',earthquake
'terremoto 25mila sfollati nelle marche 3mila a norcia cronaca',earthquake
'terremoto 28 000 sfollati il mio pensiero va a loro',earthquake
'terremoto 30 ottobre crolli in oltre 100 comuni delle marche',earthquake
'terremoto 30 ottobre distrutta castelluccio di norcia quotidianonet',earthquake
'terremoto 30 ottobre la montagna spaccata a castelsantagelo sul nera quotidianonet',earthquake
'terremoto 400 gli sfollati abruzzesi 200 brandine e coperte nel teramano',earthquake
'terremoto 400 gli sfollati abruzzesi 200 brandine e coperte nel teramano terremoto 400 gli sfollati',earthquake
'terremoto 6 0 devasta il centro italia almeno 159 morti si scava ancora fra le macerie',earthquake
'terremoto 6 0 devasta il centro italia almeno 159 morti si scava ancora fra le macerie amatric',earthquake
'terremoto 6 0 devasta il centro italia almeno 159 morti si scava ancora fra le macerie amatric vía',earthquake
'terremoto 6 5 ad assisi il 31 ottobre sopralluoghi a scuole ed edifici pubblici il comune di assisi ha disposto',earthquake
'terremoto 6 5 video choc di alcuni cacciatori al momento della scossa',earthquake
'terremoto 8 feriti lievi a fabriano fabriano ancona a fabriano a causa del crollo di alcuni tramezzi i',earthquake
'terremoto a balsorano trema l italia centrale sisma 4 4 ingv',earthquake
'terremoto a l aquila la terra torna a tremare ancora',earthquake
'terremoto a l aquila scossa di magnitudo 4 4',earthquake
'terremoto a l aquila scossa di magnitudo 4 4 avvertita fino a roma gente in strada terremoto l aquila scossa',earthquake
'terremoto a l aquila scossa di magnitudo tra 4 4 e 4 9 avvertita fino a roma gente in strada terremoto l aquila scossa',earthquake
'terremoto è il più grave dal 1980 viabilità compromessa ma nessuna vittima live',earthquake
'terremoto abruzzo circa 4 000 sfollati',earthquake
'terremoto abruzzo nel primo pomeriggio il numero di sfollati era quotato intorno a 100 ma già in quel momento era',earthquake
'terremoto all aquila forte scossa avvertita anche a roma',earthquake
'terremoto allaquila 4 4 paura a roma e napoli crepe in alcuni edifici treni regionali sospesi rallenta la tav terremoto allaquila paura napoli',earthquake
'terremoto allaquila 4 4 paura a roma e nel basso lazio avvertito anche a napoli terremoto allaquila paura basso',earthquake
'terremoto allaquila di 4 4 avvertito a roma alcune scuole chiuse domani disagi sui treni av terremoto allaquila avvertito',earthquake
'terremoto allaquila di 4 4 avvertito a roma crepe su alcuni edifici a sora disagi sui treni av terremoto allaquila avvertito',earthquake
'terremoto amatrice pompieri salvano due bambini estratti vivi dalle macerie',earthquake
'terremoto attimi di terrore allo stadio adriatico con i tifosi che lasciano gli spalti',earthquake
'terremoto bastano 5 secondi e il tuo pollice per donare alle popolazioni colpite dal sisma invia sms al 45500',earthquake
'terremoto bilancio sale a 159 morti si scava senza sosta tra le macerie migliaia di sfollati',earthquake
'terremoto bilancio sale a 159 morti si scava senza sosta tra le macerie migliaia di sfollati notte di paura',earthquake
'terremoto c è stata un altra scossa 15 minuti fa ad amatrice come state',earthquake
'terremoto casini nel mondo la terra vuole farsi sentire anche troppo finisce siate forte finirà presto vi sono vicina',earthquake
'terremoto castelli ascoli è impazzita ma è crollato solo un muro divisorio sindacoascoli',earthquake
'terremoto castelluccio di norcia quasi rasa al suolo ssaggeroit',earthquake
'terremoto castelluccio di norcia un paese distrutto',earthquake
'terremoto centro italia 2 500 sfollati sindaco accumoli case tutte inagibili via',earthquake
'terremoto centro italia 6 5 richter visto da vicino al monte vettore',earthquake
'terremoto centro italia la distruzione di amatrice ripresa dal drone dei vv ff',earthquake
'terremoto centro italia norcia la strada si apre in due',earthquake
'terremoto centro italia ultime news in tempo reale 120 le vittime provvisorie sale il numero dei feriti',earthquake
'terremoto centro italia visso montagna frana nel fiume nera le immagini dal drone',earthquake
'terremoto chieti crepe alle 5 palazzine video',earthquake
'terremoto circa 25 mila sfollati nelle marche',earthquake
'terremoto confcommerio attiva la raccolta fondi per le zone colpite',earthquake
'terremoto crollato hotel roma ad amatrice curcio trenta persone allinterno terremoto',earthquake
'terremoto crollato hotel roma ad amatrice curcio trenta persone allinterno terremoto crollato hotel',earthquake
'terremoto curcio scossa 6 5 ha cambiato il quadro sindaco almeno 3 mila sfollati video',earthquake
'terremoto da 6 5 e nessuna vittima complimenti agli apparati dello stato che lavorano duro sulle agibilità orgoglio italia',earthquake
'terremoto danni a roma bloccato ascensore di palazzo di 14 piani in zona torre gaia disabili isolati',earthquake
'terremoto danni a roma lesionato ascensore di palazzo di 14 piani in zona torre gaia disabili rischiano l isolamento',earthquake
'terremoto devasta il centro italia almeno 159 morti',earthquake
'terremoto devasta il centro italia centinaia fra morti e feriti si scava fra le macerie am via',earthquake
'terremoto devasta il centro italia oltre 70 morti',earthquake
'terremoto devasta il centro italia parte la solidarietà di imprenditori e politici',earthquake
'terremoto di 4 4 a balsorano ingv zona ad alta pericolosità è una sequenza sismica diversa',earthquake
'terremoto di 6 5 in centro italia magnitudo 6 5 venti feriti e 28 mila sfollati stampa it 2016 10 30 italia cronache nuova fortissima scossa di terremoto nelle marche 7rkcaiwmsjcyhqnhu4kckp pagina html',earthquake
'terremoto di 6 5 tra norcia e preci mai così forte dall 80 nessuna vittima si temono 100mila sfollati',earthquake
'terremoto di magnitudo 4 4 in abruzzo avvertito anche a roma',earthquake
'terremoto di magnitudo 4 4 in abruzzo la scossa avvertita fino a roma e napoli terremoto magnitudo abruzzo scossa',earthquake
'terremoto di magnitudo 4 4 tra abruzzo e lazio ore 18 35 scossa avvertita anche a roma e napoli decine di chiamate ai vigili del fuoco gente in strada in alcuni centri della marsica non si segnalano danni nè feriti',earthquake
'terremoto di magnitudo 4 4 tra l aquila e frosinone al momento non si segnalano particolari danni a persone o cose una scossa di magnitudo 4 4 è stata registrata dall ingv alle 18 35 con epicentro 5 km a sud est di balsorano in provincia dell aquila',earthquake
'terremoto di magnitudo 4 4 tra l aquila e frosinone nessun danno abruzzo',earthquake
'terremoto di magnitudo 6 devasta il centro italia 159 morti 400 feriti più di 100 dispersi',earthquake
'terremoto di scala 4 4 tra l aquila e frosinone alle 18 35 preoccupato',earthquake
'terremoto dolore in tutto il mondo per il crollo della basilica di san benedetto a norcia il gazzettino',earthquake
'terremoto droni per verificare i nuovi crolli',earthquake
'terremoto due forti scosse 5 4 e 5 9 nell italia centrale paura a roma gente in strada evacuata la farnesina',earthquake
'terremoto esodo epocale nelle marche sfollati negli alberghi della costa',earthquake
'terremoto evacuati 750 studenti dai collegi universitari camerino via s',earthquake
'terremoto filippine scossa di magnitudo 5 7 a jomalig tutti i dettagli',earthquake
'terremoto forte scossa di magnitudo 5 0 a tonga la terra trema per centinaia di chilometri i dati ufficiali del sisma',earthquake
'terremoto forti scosse in centro italia la prima di magnitudo 5 4 la seconda 5 9 sindaco di ussita paese è',earthquake
'terremoto fortissimo magnitudo 6 5 in diretta alle ore 7 41 immagini impressionanti cacciatori il video',earthquake
'terremoto frattura nel colle dell infinito forse irreversibile l erede di leopardi con quello che c hanno',earthquake
'terremoto gravi danni a ussita e preci',earthquake
'terremoto il crollo di amatrice e la scuola antisismica che si è sbriciolata chi è che ha firmato l agibilità',earthquake
'terremoto il cuore gonfio di tristezza vorrei tornare piccolo e non capire una preghiera per tutte le vittime',earthquake
'terremoto in abruzzo di 4 4 avvertito anche a roma e napoli gente in strada nella marsica terremoto abruzzo avvertito anche',earthquake
'terremoto in abruzzo earthquake alle ore 18 35 ora italiana del 07 11 2019 si è verificato un terremoto 1 di magnitudo 4 4 a 5 km a sudest di balsorano italia l epicentro icona verde dista 53 km da una delle zone a maggior rischio sismico calcolate dal mio modell',earthquake
'terremoto in abruzzo la scossa avvertita fino a roma e napoli',earthquake
'terremoto in abruzzo migliaia di sfollati molti crolli e case inagibili',earthquake
'terremoto in abruzzo scossa di 4 4 gradi al confine con il lazio',earthquake
'terremoto in centro italia due scosse provocano il panico world',earthquake
'terremoto in centro italia sale a 159 morti bilancio delle vittime protezionecivile',earthquake
'terremoto in ciociaria fortissima scossa',earthquake
'terremoto in fila per donare il sangue a sulmona scatta solidarieta tramite',earthquake
'terremoto in italia per assistenza consolare i canadesi può chiamare 39 06 85444 2911 1 613 996 8885 sos',earthquake
'terremoto in italia siamo colpiti da terremoto notizie in centro italia arriva con intensità superiore a 4',earthquake
'terremoto in provincia di l aquila di 4 4 allarme tra la gente a roma e nel basso lazio',earthquake
'terremoto individuata la faglia sul monte vettore immagini choc la montagna è spaccata ssaggeroit',earthquake
'terremoto istituto nazionale geofisica oltre 200 scosse 15 tra magnitudo 4 e 5',earthquake
'terremoto l aquila fuggi fuggi dal centro balla pure l auditorium abruzzoweb it',earthquake
'terremoto l aquila oggi scossa tra 4 4 e 4 9',earthquake
'terremoto l impegno dei vigili del fuoco di frosinone',earthquake
'terremoto la montagna spaccata in due',earthquake
'terremoto la nonna eroina così ha salvato i due nipoti sotto le macerie',earthquake
'terremoto la sala operativa di crispoltore resterà aperta per l intera notte con equipaggio dedicato pronta a rispondere ad eventuali',earthquake
'terremoto la situazione della viabilità nel centro italia a foligno treno per sfollati 420 posti letto',earthquake
'terremoto la strada si spacca crolli danni e tanta paura vía screto',earthquake
'terremoto la tragedia dell hotel roma di amatrice via',earthquake
'terremoto lazio oltre 100 volontari della protezione civile a lavoro tg24 info',earthquake
'terremoto m 6 5 le immagini della propagazione delle onde sismiche fino ad alpi e sicilia via',earthquake
'terremoto magnitudo 6 devasta centro italia oltre 130 morti e 400 feriti terremoto magnitudo 6 devasta',earthquake
'terremoto marsica m 4 4 la scheda con gli effetti macrosismici terremoto marsica scheda effetti',earthquake
'terremoto morta marisol 18 mesi la mamma era scampata al sisma de l aquila via',earthquake
'terremoto muoiono madre e figlio carbognano anche la tuscia conta le sue vittime sotto il terremoto che h',earthquake
'terremoto napoli crepe su un edificio del vomero',earthquake
'terremoto nel centro italia dalle acli un aiuto per le popolazioni colpite',earthquake
'terremoto nel centro italia i danni al patrimonio artistico via',earthquake
'terremoto nel reatino almeno 130 morti centinaia sotto le macerie molti bimbi tra le vittime paura per',earthquake
'terremoto nelle nostre marche più di 25 000 sfollati',earthquake
'terremoto nuova forte scossa alle 2342 altri crolli a visso terremoto nuova forte scossa alle 23 42',earthquake
'terremoto nuove scosse di magnitudo 4 0 e 3 5 in umbria e nelle marche almeno 25mila sfollati',earthquake
'terremoto nuovi crolli ad amandola a rischio il teatro la fenice tramite',earthquake
'terremoto oggi macerata magnitudo 5 9 aggiornamenti in tempo reale st it',earthquake
'terremoto oltre 200 eventi sismici dopo la fortissima scossa delle 7 40',earthquake
'terremoto panico a roma evacuata la farnesina folla in strada retenews24 news on line',earthquake
'terremoto panico a uno mattina timperi fa evacuare lo studio',earthquake
'terremoto paura e danni in tutta la provincia di terni a ferentillo famiglie sfollate e crolli',earthquake
'terremoto roma la polizia locale attivata con tutto il personale disponibile roma daily news',earthquake
'terremoto scossa 6 5 norcia 30 10 2016 visso frane e allagamenti sulla valnerina video esclusivo',earthquake
'terremoto scossa di magnitudo 4 4 tra l aquila e frosinone',earthquake
'terremoto scossa di magnitudo 4 4 tra l aquila e frosinone nessun danno avvertita fino a roma e napoli',earthquake
'terremoto scossa di magnitudo 4 9 all aquila avvertita anche in provincia di latina',earthquake
'terremoto scossa di magnitudo 6 5 crolla basilica s benedetto a norcia gli sfollati sono circa 40 mila',earthquake
'terremoto scossa impressionante l acqua della fontana ondeggia come in una tinozza',earthquake
'terremoto scuole chiuse a viterbo',earthquake
'terremoto senza fine centro italia devastato crolli e feriti magnitudo 6 5 quasi come',earthquake
'terremoto sfollati hanno raggiunto il trasimeno corriere dell umbria',earthquake
'terremoto si apre enorme spaccatura sul monte porche centro meteo italiano via',earthquake
'terremoto solo oggi oltre 200 scosse ben 15 oltre magnitudo 4 la prima pagina',earthquake
'terremoto staffetta dei vigili del fuoco nelle zone colpite domani verifiche nelle scuole cittadine',earthquake
'terremoto strade chiuse nel centro italia',earthquake
'terremoto striscione solidale a marassi',earthquake
'terremoto terremoto torna la paura in tanti dormono in auto e scuole chiuse aggiornamenti prima pagina online',earthquake
'terremoto tra i 4 7 ed i 4 9 epicentro vicino a l aquila poveracci',earthquake
'terremoto tra l aquila e frosinone scossa di magnitudo 4 4',earthquake
'terremoto un pensiero e un forte abbraccio a tutte le persone coinvolte nelle aree terremotate e una serata triste ma bisogna ripartire',earthquake
'terremoto una sopravvissuta le pareti crollavano una dopo l altra',earthquake
'terremoto via del vignola calcinacci in terra',earthquake
'terremoto video in diretta scossa 6 5 richter su montevettore montegallo sibillini 30ott s',earthquake
'terremoto vigilidelfuoco impagabili grazie persone straordinarie',earthquake
'terremoto violenta scossa di 6 5 gradi in umbria avvertita a salerno',earthquake
'terremotoitalia vicina con il cuore a tutte le vittime del terremoto ritrovata elisa riposa in pace angelo bello',earthquake
'terribile terremoto in italia',earthquake
'torna il terrore nell italia centrale terremoto di magnitudo 4 4 tra l aquila e frosinone',earthquake
'tragedia enorme terremoto piangiamo i nostri fratelli',earthquake
'ultim ora nuova scossa di terremoto in diretta tv dilaga la paura',earthquake
'ultimora terremoto nuova scossa di magnitudo 6 2 canale50 by skytg24 via',earthquake
'un pensiero per i nostri connazionali del centro italia colpiti da un terremoto che a portato morte e distruzione',earthquake
'una mano da ognuno non guasta nessuno terremotocentroitalia terremoto norcia le4stagioninapoli',earthquake
'una preghiera x tutte le vittime del tragico terremoto centroitalia buonanotte a tutti',earthquake
'una pregriera per il moi secondo payesi l talia che dio te protega terremoto',earthquake
'vicinanza a tutti i colpiti da questo ennesimo terremoto popolo stringiamoci ancora l uno con l altro',earthquake
'vicino a voi tutti terremoto centroitalia',earthquake
'violenta scossa di terremoto avvertita anche a roma',earthquake
'l aquila e l incubo terremoto riattivati i centri raccolta per chi non vuole dormire in casa la repubblica',earthquake
'terremoto paura per tre forti scosse nel centro italia scuole evacuate magnitudo tra 5 4 e 5 6 cronaca',earthquake
'un pensiero speciale x coloro che stanno combattendo contro il freddo la neve e tutti i disagi che ne conseguono nelle zone terremoto forza',earthquake
'preghiamo per le popolazioni provate dal terremoto dalla bufera di neve e dal gelo',earthquake
'terremoto oggi magnitudo fino a 5 5 un morto in abruzzo cronaca',earthquake
'l impotenza di non poter far niente per aiutare chi sta realmente soffrendo terremoto tristezza',earthquake
'maltempo e terremoto morto un anziano e almeno diciotto comuni hanno frazioni isolate',earthquake
'ciao maurizio ben trovato condivido pienamente il tuo tweet solidarietà alle vittime del terremoto buonanotte',earthquake
'terremoto mi piange il cuore nel rivedere l abruzzo terra natale di mia madre in ginocchio abbraccio i miei cugini e parenti e non solo',earthquake
'terremoto centro italia in ginocchio un morto nel teramano slavina su hotel forse vittime',earthquake
'terremoto e neve emergenza in umbria scuole chiuse difficoltà sulle strade foto',earthquake
'emergenzacastelli il comune di castelli te isolato da 48 ore impossibile contattare chi è rimasto urge intervento terremoto',earthquake
'cmq oggi alla terza scossa da teramo sono scappato terremoto tremavatutto paura',earthquake
'terremoto salvata una coppia di anziani a collecreta',earthquake
'terremoto emergenzabruzzo abruzzo notte nelle casette per 300 persone a campotosto epicentro scosse oggi',earthquake
'sono volate bottiglie bicchieri per terra secondo me la magnitudo è molto più alta di quella comunicata terremoto',earthquake
'terremoto oggi strage di animali allarme coldiretti quotidianonet',earthquake
'centroitalia flagellato da maltempo neve e nuove scosse di terremoto spero che tutti questi disagi finiscano presto',earthquake
'terremoto crollano le stalle situazione drammatica per gli allevatori terremoto crollano le stalle',earthquake
'news terremoto hotel rigopiano al gran sasso secondo testimoni ci sarebbero 3 dispersi',earthquake
'ultima ora nuova forte scossa di terremoto poco fa aumenta la disperazione',earthquake
'apocalisse abruzzo terremoto neve e esondazioni la regione è in ginocchio',earthquake
'terremoto paura nel pescarese crolla tetto di un supermercato',earthquake
'terremoto adesso magnitudo 4 2 provincia di l aquila in data 18 01 2017 alle località',earthquake
'mi dispiace tanto x te e x voi tutti siete così provati spero smetta sia terremoto che il maltempo buonanotte con un forte abbraccio',earthquake
'ora che c è tutta questa gente che sta soffrendo sotto la neve ed il gelo per la paura del terremoto sembra tutto così superfluo vi penso',earthquake
'terremoto nelle marche 21 000 case senza elettricità 70 frazioni isolate e neve fino a 4 metri dire it',earthquake
'terremoto centro italia in ginocchio un morto nel teramano slavina su hotel forse vittime',earthquake
'repubblicait terremoto paura a roma evacuati edifici pubblici e scuole riaperte metro a b e b1',earthquake
'terremoto un morto nel teramano slavina su hotel si temono vittime testimoni tre dispersi ansa news',earthquake
'terremoto in centro italia la diretta neve e scosse un morto e un disperso valanga su',earthquake
'apocalisse abruzzo terremoto neve e esondazioni la regione è in ginocchio abr24 news',earthquake
'terremoto oggi magnitudo fino a 5 5 un morto in abruzzo cronaca',earthquake
'terremoto chiusi uffici pubblici dell aquilano abruzzo ansa it',earthquake
'terremoto e neve non lasciamoli soli dov è lo stato che chiede solo i voti',earthquake
'l abruzzo è in ginocchio terremoto',earthquake
'un abbraccio agli amici che oggi hanno tremato la prova è grande ma voi lo siete di più coraggio terremoto terremotocentroitalia',earthquake
'porca puttana che scossa di terremoto',earthquake
'cazzo che scossa terremoto',earthquake
'nuovo terremoto di magnitudo 2 3 ml profondità 14 4 km in zona 4 km se balsorano aq fonte ingv',non-earthquake
'terremoto in nuova guinea scossa di magnitudo 6 0 terremoto nuova guinea scossa',non-earthquake
'oggi è venerdì 17 e in calabria sono arrivati salvini e il terremoto coincidenze calabria salvini terre',non-earthquake
'stima provvisoria terremoto mag tra 2 8 e 3 3 ore prov zona cosenza',non-earthquake
'terremoto in calabria a papasidero cosenza di magnitudo 3 3 ecco qui i dettagli',non-earthquake
'terremoto calabria scossa in provincia di cosenza epicentro a papasidero mappe e dati terremoto calabria scossa',non-earthquake
'lieve terremoto m2 2 epicentro 2 km e antillo me alle 09 28 36 08 28 36 utc',non-earthquake
